"id_filial";"descricao_filial";"pedido_nulo";"total";"status_6";"status_8";"carrinho"
"2d16edd6-17f4-4619-944a-dc316326b589";Eletro Mateus Eldorado dos Carajás;40;56;7;2;40
"2d36cc32-6aa9-4cbd-89d1-9ed1a52e25ba";Península;37;38;0;1;37
"2d96d511-311b-44ad-8184-14bb14c31d75";Loja Virtual Bela Vista;9;9;0;0;9
"2f19567e-e697-438d-ab6f-21207741ef17";Eletro Mateus Barcarena;315;395;57;5;315
"30d44b20-0e5e-4fc0-838c-8abec45ebed6";Centro de Distribuição - 87 / Frios;4;4;0;0;4
"31cd1baa-631f-4761-84e3-1d2d9934a2e7";Supermercado Mateus Goiás;24086;37859;12477;339;24077
"325f0021-ee3d-44e3-8dc5-04f692112365";Centro de Distribuição - 101 / Venda Externa;1;1;0;0;1
"32f3603c-b55f-418b-8555-1a31858839f5";Eletro Mateus Calhau;745;960;166;19;742
"355d0c26-8f16-4efa-80e2-8b6f616f35d4";Supermercado Mateus Cohatrac Ⅳ;39673;54260;13151;586;39653
"3579ff07-6ded-4da0-9f57-a45eed95e130";Loja Virtual Cohatrac Ⅳ;49;49;0;0;49
"35f14275-cb7b-4901-ad7a-44a25c0cd75e";Mix Mateus Petrolina - Atacado;1593;1924;278;22;1593
"36bbaabe-eeb1-4f55-be53-7e30c6cc897a";Mix Mateus Tianguá;145;145;0;0;145
"36c6a1ae-c2e9-4747-8ec7-23e6cebd35a5";Supermercado Camiño Carcará;5;5;0;0;5
"37c4ea2a-cd7d-4f03-8efb-e43a2280b486";Mix Mateus Bacabal;247;247;0;0;247
"37eaf926-91b8-4599-9c2c-daa6ae097b5f";Supermercado Mateus Estreito;6;6;0;0;6
"38936bf3-cafe-4bd6-90f4-0d840779439f";Eletro Mateus Altos;79;84;4;1;79
"3982d1b1-e944-4bce-8612-83e0ed7416a2";Eletro Mateus Santa Luzia;207;243;21;1;207
"398763ca-16af-406e-ac21-74b09b59a544";Boteco Gelado Mario Covas;855;1287;341;43;854
"3b1a6e17-e803-4925-9e28-9ef8de9760f5";Armazém Mateus;301;368;22;15;301
"3ba03683-32fd-4a78-9c53-81ba25696b29";Eletro Mateus Curva do Noventa;715;865;118;13;713
"3c8bdf7f-e3f4-40a2-ae65-5482e82eff7b";Eletro Mateus Ribamar;543;629;50;4;543
"3cfe1d8f-0aff-4394-a414-0ea1d2b17df8";Mix Mateus Juazeiro;4290;6907;2280;89;4290
"3d0e984b-81fe-4df7-a43c-ad3faeea364e";Boteco Gelado Paragominas;41;52;10;0;41
"3d3d9752-681f-4eab-ab80-9085d13fbcbd";Mix Mateus Serraria - Atacado;1367;1556;154;12;1367
"3d73beff-bb3d-4959-b946-3fdfc0e4b7fa";Mix Mais Aracaju;30;32;1;1;30
"3f1512f8-d471-4321-887d-c900b93e84ee";Eletro Mateus Praça de Fátima;374;442;48;3;374
"3f570b61-a334-4c2e-aadc-01ea38b6575d";Eletro Mateus Grande Imperatriz;2082;2452;239;13;2082
"3f5acd10-47f2-48eb-bd9f-2352fe26524b";Mix Mateus Ceasa;42;42;0;0;42
"3faeef37-2377-4a31-a3b8-8352afcb23bb";Eletro Mateus Paissandu;380;433;39;3;380
"40dc41f8-6ff9-4207-b1b8-ceff3d2642f5";Eletro Mateus Carolina;156;190;20;1;156
"40febef7-fb6c-4110-a807-8d6a678fbe19";Mix Mateus Parnaíba;104;104;0;0;104
"41e35645-8a72-4ad5-a86d-c7899156843f";Centro de Distribuição - 130 / Eletro;1;1;0;0;1
